Country,Region,Moody's rating,Rating-based Default Spread,Total Equity Risk Premium,Country Risk Premium,expected_gdp_growth_rate_pct,expected_gdp_growth_window_years,expected_gdp_growth_start_year,expected_gdp_growth_end_year,GDP_0,GDP_1,Cost of Equity,PV_of GDP
Lithuania,Eastern Europe & Russia,A2,0.006737511,0.05247343,0.01047343,0.09242099038808504,9.0,2016.0,2025.0,95210150818.3512,104009567251.98216,0.19786785038808505,986369506422.3075
Luxembourg,Western Europe,Aaa,0.0,0.042,0.0,0.055491114801249575,9.0,2016.0,2025.0,101157829491.107,106771190220.44324,0.1399911148012496,1263564381307.0203
Malaysia,Asia,A3,0.009544807,0.056837359,0.014837359,0.05120423283724396,9.0,2016.0,2025.0,472193128644.597,496371415547.86163,0.16537895083724397,4347472227151.5625
Maldives,Asia,Caa2,0.071679627,0.153425659,0.111425659,0.0645154931202756,9.0,2016.0,2025.0,7741066860.6337,8240485606.424507,0.3718668111202756,26811290935.881092
Mali,Africa,Caa2,0.071679627,0.153425659,0.111425659,0.06721497257041764,9.0,2016.0,2025.0,30069148580.7688,32090245577.840984,0.3745662905704176,104409005911.08246
Malta,Western Europe,A2,0.006737511,0.05247343,0.01047343,0.09745801097034357,9.0,2016.0,2025.0,27771821560.9411,30478408051.293724,0.20290487097034357,289040451762.08875
Mauritius,Africa,Baa3,0.017498812,0.069201825,0.027201825,0.026599809890448523,9.0,2016.0,2025.0,16157804491.7614,16587599019.489288,0.1655034598904485,119418021193.03049
Mexico,Central and South America,Baa3,0.017498812,0.069201825,0.027201825,0.05705587912729282,9.0,2016.0,2025.0,1832641364775.52,1937204328967.829,0.1959595291272928,13946388946351.152
Moldova,Eastern Europe & Russia,B2,0.043793819,0.110077296,0.068077296,0.10961473808222832,9.0,2016.0,2025.0,20351796275.2943,22582653093.513554,0.3302693300822283,102343907229.96399
Mongolia,Asia,B1,0.035839813,0.097712829,0.055712829,0.095303679214364,9.0,2016.0,2025.0,25369107325.4549,27786876591.954823,0.291229337214364,141823571632.23013
Montenegro,Eastern Europe & Russia,Ba3,0.02863442,0.086512078,0.044512078,0.08700930830625331,9.0,2016.0,2025.0,9232801464.79257,10036141133.973133,0.2605334643062533,57837141325.575066
Morocco,Africa,Ba1,0.019931802,0.072983897,0.030983897,0.05611600445340703,9.0,2016.0,2025.0,182374250612.28,192608364871.82547,0.20258379845340704,1315021955419.2607
Mozambique,Africa,Caa2,0.071679627,0.153425659,0.111425659,0.07079885911429651,9.0,2016.0,2025.0,22337997046.1913,23919501751.960167,0.3781501771142965,77824627229.87305
Namibia,Africa,B1,0.035839813,0.097712829,0.055712829,0.03862649938083518,9.0,2016.0,2025.0,15080340653.5276,15662841422.443867,0.23455215738083518,79942778206.43515
Nepal,Asia,Ba3,0.02863442,0.086512078,0.044512078,0.07105908913211678,9.0,2016.0,2025.0,45489810283.1132,48722274766.62402,0.24458324513211677,280780934999.1826
Netherlands,Western Europe,Aaa,0.0,0.042,0.0,0.0587678731713539,9.0,2016.0,2025.0,1332767651100.39,1411091571387.1409,0.14326787317135392,16699308537125.924
New Zealand,Australia & New Zealand,Aaa,0.0,0.042,0.0,0.03786869458059572,9.0,2016.0,2025.0,264057413739.965,274056923292.62573,0.12236869458059572,3243277198729.2983
Nicaragua,Central and South America,B2,0.043793819,0.110077296,0.068077296,0.05889664727670674,9.0,2016.0,2025.0,22237167113.0916,23546861700.98454,0.2795512392767067,106713671750.75397
Niger,Africa,Caa3,0.079633632,0.165790125,0.123790125,0.08554150097111468,9.0,2016.0,2025.0,21646191388.2507,23497839089.909683,0.4176217509711147,70759519995.27127
Nigeria,Africa,B3,0.051747824,0.122441762,0.080441762,-0.0360458551955285,9.0,2016.0,2025.0,290794361542.112,280312430094.2889,0.2093376688044715,1142344137556.2317
Norway,Western Europe,Aaa,0.0,0.042,0.0,0.03683157727694275,9.0,2016.0,2025.0,530755719438.879,550304289734.5714,0.12133157727694276,6512476801592.561
Oman,Middle East,Baa3,0.017498812,0.069201825,0.027201825,0.042857147978704324,9.0,2016.0,2025.0,109604780696.23,114302129001.70177,0.1817607979787043,822887872289.1859
Pakistan,Asia,Caa1,0.05970183,0.134806228,0.092806228,0.02946506078975153,9.0,2016.0,2025.0,407307214476.222,419308546310.8682,0.29957751678975153,1552348057250.8962
Panama,Central and South America,Baa3,0.017498812,0.069201825,0.027201825,0.04714254232153059,9.0,2016.0,2025.0,90462600000.0,94727236949.01569,0.18604619232153058,681963626938.642
Papua New Guinea,Asia,B2,0.043793819,0.110077296,0.068077296,0.051063765999358246,9.0,2016.0,2025.0,32498658653.8415,34158162554.63428,0.27171835799935823,154803769298.55276
Paraguay,Central and South America,Ba1,0.019931802,0.072983897,0.030983897,0.03521415204177236,9.0,2016.0,2025.0,49278227554.3339,51013518551.78127,0.18168194604177237,348291710816.5176
Peru,Central and South America,Baa1,0.012726409,0.061783146,0.019783146,0.06381246186438272,9.0,2016.0,2025.0,334854659181.893,356222559351.0484,0.1878787538643827,2871227580099.2617
Philippines,Asia,Baa2,0.015159399,0.065565218,0.023565218,0.04828736962954627,9.0,2016.0,2025.0,487086123720.417,510606231417.9277,0.17991780562954626,3879089418331.2417
Poland,Eastern Europe & Russia,A2,0.006737511,0.05247343,0.01047343,0.09089517923413215,9.0,2016.0,2025.0,1035491784197.44,1129612995517.5376,0.19634203923413215,10712628100234.92
Portugal,Western Europe,A3,0.009544807,0.056837359,0.014837359,0.05935340333913319,9.0,2016.0,2025.0,346639825141.821,367214078496.8701,0.1735281213391332,3216246862084.3896
Qatar,Middle East,Aa2,0.003930215,0.048109501,0.006109501,0.039784405511061216,9.0,2016.0,2025.0,215559615384.615,224135526534.8849,0.13650340751106121,2317388743681.256
Romania,Eastern Europe & Russia,Baa3,0.017498812,0.069201825,0.027201825,0.09767877853926588,9.0,2016.0,2025.0,428677977854.826,470550719118.36786,0.23658242853926587,3387605142977.6533
Rwanda,Africa,B2,0.043793819,0.110077296,0.068077296,0.07420040943559725,9.0,2016.0,2025.0,16372132990.2271,17586951961.436,0.29485500143559723,79703539373.59256
Saudi Arabia,Middle East,Aa3,0.004772403,0.04941868,0.00741868,0.07090983071285484,9.0,2016.0,2025.0,1276942933333.33,1367490740565.973,0.17024719071285482,13766127271411.01
Senegal,Africa,Caa1,0.05970183,0.134806228,0.092806228,0.07663167338580168,9.0,2016.0,2025.0,37006536238.3731,39842409036.531944,0.3467441293858017,147503042349.6351
Serbia,Eastern Europe & Russia,Ba2,0.023955593,0.079238862,0.037238862,0.10047524108459638,9.0,2016.0,2025.0,99953324472.9042,109996158846.52614,0.25945296508459637,691896676332.6298
Singapore,Asia,Aaa,0.0,0.042,0.0,0.07282610001808743,9.0,2016.0,2025.0,603869516998.738,647846978841.5623,0.15732610001808744,7666828151971.149
Slovenia,Eastern Europe & Russia,A2,0.006737511,0.05247343,0.01047343,0.0673778259229667,9.0,2016.0,2025.0,79648204979.3618,85014727869.53801,0.1728246859229667,806232901288.2698
Solomon Islands,Asia,Caa1,0.05970183,0.134806228,0.092806228,0.026758442009677585,9.0,2016.0,2025.0,1749572442.95016,1796388275.7065718,0.2968708980096776,6650519943.836177
South Africa,Africa,Ba2,0.023955593,0.079238862,0.037238862,0.03134250305892583,9.0,2016.0,2025.0,427184325997.307,440573352041.6028,0.19032022705892582,2771289844617.4937
Spain,Western Europe,A3,0.009544807,0.056837359,0.014837359,0.048669993161813974,9.0,2016.0,2025.0,1906453309985.88,1999240379546.2102,0.16284471116181398,17510359688790.387
Sri Lanka,Asia,Caa1,0.05970183,0.134806228,0.092806228,0.023881139375117932,9.0,2016.0,2025.0,108825231671.196,111424102196.26534,0.29399359537511793,412510048023.3512
St. Vincent & the Grenadines,Caribbean,B3,0.051747824,0.122441762,0.080441762,0.049256283804014034,9.0,2016.0,2025.0,1255222222.22222,1317049804.2371027,0.294639807804014,5367311475.391082
Suriname,Central and South America,Caa1,0.05970183,0.134806228,0.092806228,0.03505982519209283,9.0,2016.0,2025.0,4523657796.86421,4682256448.4511175,0.30517228119209283,17334470678.579582
Sweden,Western Europe,Aaa,0.0,0.042,0.0,0.029927139677196957,9.0,2016.0,2025.0,668998664082.081,689019880545.9237,0.11442713967719696,8154081426578.979
Switzerland,Western Europe,Aaa,0.0,0.042,0.0,0.04559499993691851,9.0,2016.0,2025.0,1043529899250.92,1091109644941.4384,0.13009499993691853,12912540176821.752
Tajikistan,Eastern Europe & Russia,B2,0.043793819,0.110077296,0.068077296,0.10843124755030109,9.0,2016.0,2025.0,17660626562.4832,19575590333.17324,0.3290858395503011,88715988893.50665
Tanzania,Africa,B1,0.035839813,0.097712829,0.055712829,0.06821506378465592,9.0,2016.0,2025.0,90143496090.4411,96292640426.02242,0.2641407217846559,491475396377.2443
Thailand,Asia,Baa1,0.012726409,0.061783146,0.019783146,0.03775359153499469,9.0,2016.0,2025.0,577009981112.015,598794180250.5331,0.16181988353499469,4826405066176.501
Togo,Africa,B3,0.051747824,0.122441762,0.080441762,0.07754197546087682,9.0,2016.0,2025.0,11889949067.4697,12811919206.29051,0.3229254994608768,52211815192.166336
Trinidad and Tobago,Caribbean,Ba2,0.023955593,0.079238862,0.037238862,0.010455996246709676,9.0,2016.0,2025.0,25942749718.4685,26214007012.154133,0.16943372024670966,164891069972.50845
Tunisia,Africa,Caa1,0.05970183,0.134806228,0.092806228,0.02925240638277815,9.0,2016.0,2025.0,57502836548.0878,59184932890.95493,0.29936486238277815,219112194111.31094
Turks and Caicos Islands,Caribbean,Baa1,0.012726409,0.061783146,0.019783146,0.05496983143658185,9.0,2015.0,2024.0,1745378000.0,1841321134.4531183,0.17903612343658185,14841429567.775898
Uganda,Africa,B3,0.051747824,0.122441762,0.080441762,0.08721814977492692,9.0,2016.0,2025.0,61985829288.1496,67392118630.92648,0.3326016737749269,274639949465.09323
Ukraine,Eastern Europe & Russia,Ca,0.095541643,0.190519057,0.148519057,0.09668731338445968,9.0,2016.0,2025.0,214233312784.397,234946956234.97296,0.4782254273844597,615788954272.0048
United Arab Emirates,Middle East,Aa2,0.003930215,0.048109501,0.006109501,0.04182735773152957,9.0,2015.0,2024.0,552324919095.872,575427211070.9331,0.13854635973152957,5949474241586.293
United Kingdom,Western Europe,Aa3,0.004772403,0.04941868,0.00741868,0.04442182602087463,9.0,2016.0,2025.0,4002587541846.01,4180389789263.2134,0.14375918602087462,42082755060766.805
United States,North America,Aa1,0.002186354,0.0442,0.002186354,0.05623687639175068,9.0,2016.0,2025.0,30769700000000.0,32500091815511.25,0.14512323039175068,365636459962248.56
Uruguay,Central and South America,Baa1,0.012726409,0.061783146,0.019783146,0.044899072703951326,9.0,2016.0,2025.0,85347696277.6859,89179728697.97247,0.16896536470395132,718807076929.2635
Uzbekistan,Eastern Europe & Russia,Ba2,0.023955593,0.079238862,0.037238862,0.0462647075510314,9.0,2016.0,2025.0,147038081129.405,153840754951.72174,0.2052424315510314,967687491561.5332
Zambia,Africa,Caa2,0.071679627,0.153425659,0.111425659,0.03626458106785835,9.0,2016.0,2025.0,28879806220.1264,29927120294.020214,0.34361589906785833,97371049158.86586
